	date	quantity	goods	goods_cluster	amount	unit	year
2088	24 dec. 1652	1000 lasten	rijs	rijst	2500000	lb.	1652
2090	24 dec. 1652	4539§	rijs	rijst	4539		1652
2103	24 dec. 1652	27 stucx	slaven	slaven	27	stuks	1652
2108	24 dec. 1652	40 lasten	rijs	rijst	100000	lb.	1652
2115	6 febr. 1645	1000 lasten	rijs	rijst	2500000	lb.	1645
2122	8 dec. 1693	18 stux	slaven	slaven	18	stuks	1693
2124	8 dec. 1693	75 lasten	peper	peper	187500	lb.	1693
2136	28 dec. 1636	5	gout	goud	5		1636
2139	28 dec. 1636	744 baelen	zijde	zijde	148800	lb.	1636
2140	28 dec. 1636	320 baelen	zijde	zijde	64000	lb.	1636
2141	28 dec. 1636	50 000 pont	nagelen	nagelen	50		1636
2142	28 dec. 1636	200 picols	peper	peper	25000	lb.	1636
2153	28 dec. 1636	700 picols	peper	peper	87500	lb.	1636
2154	28 dec. 1636	200 schuyten	silver	silver	200	schuit	1636
2156	28 dec. 1636	2350 kisten	silver	silver	2350	kisten	1636
2158	28 dec. 1636	700 picols	zijde	zijde	87500	lb.	1636
2174	30 nov. 1706	11216	rijst	rijst	11216		1706
2177	30 nov. 1706	74 picols	peeper	peper	9250	lb.	1706
2178	30 nov. 1706	200 picols	peeper	peper	25000	lb.	1706
2183	30 nov. 1706	6000	canneel	kaneel	6000		1706
2184	30 nov. 1706	57 balen	indigo	indigo	11400	lb.	1706
2185	29 juli 1627	1000 picol	sijde	sijde	125000	lb.	1627
2187	29 juli 1627	20 000 sacken	peper	peper	20		1627
2188	29 juli 1627	40 000 sacken	peper	peper	40		1627
2190	30 november 1729	244/s reaal	goud	goud	244		1729
2196	30 november 1729	136 lasten	rijs	rijst	340000	lb.	1729
2197	30 november 1729	1000 lasten	rijs	rijst	2500000	lb.	1729
2198	30 november 1729	44.000	goud	goud	44000		1729
2200	30 november 1729	110	rijs	rijst	110		1729
2216	30 november 1729	3904 lb	peper	peper	3904	lb.	1729
2217	30 november 1729	10.000 lb	peper	peper	10000	lb.	1729
2227	30 november 1729	320 lb	foelij	foelij	320	lb.	1729
2230	12 juli 1655	28 lasten	rijs	rijst	70000	lb.	1655
2232	14 april 1647	17	peper	peper	17		1647
2233	14 april 1647	6000 picols	peper	peper	750000	lb.	1647
2234	14 april 1647	6000 tail	silver	silver	450.0	lb.	1647
2242	4 maart 1624	76 cattij	peper	peper	95.0	lb.	1624
2255	30 nov. 1697	300 carga	zijde	zijde	126900	lb.	1697
2263	30 nov. 1709	20 stux	slaven	slaven	20	stuks	1709
2264	30 nov. 1709	300	slaven	slaven	300		1709
2267	30 nov. 1709	200 cand.1 2	peper	peper	100000	lb.	1709
2268	5 oktober 1752	45 lasten	rijst	rijst	112500	lb.	1752
2272	5 oktober 1752	500 balen	canneel	kaneel	100000	lb.	1752
2273	5 oktober 1752	128 sockels	foelij	foelij	20608	lb.	1752
2276	5 oktober 1752	217.911 lb.	thee	thee	217911	lb.	1752
2280	19 jan. 1723	10000 p.ls	koper	koper	1250000	lb.	1723
2287	11 dec. 1692	495	slaven	slaven	495		1692
2303	12 november 1745	1.456.275 lb	thee	thee	1456		1745
2308	31 jan. 1657	60 packen	sijde	sijde	60	pakken	1657
2310	31 jan. 1657	5 kisten	silver	silver	5	kisten	1657
2312	31 jan. 1657	40 schuyten	silver	silver	40	schuit	1657
2322	31 jan. 1657	100 kisten	silver	silver	100	kisten	1657
2324	31 jan. 1657	15 bharen	thin	thin	7500	lb.	1657
2328	31 jan. 1657	1600	slaven	slaven	1600		1657
2329	31 jan. 1657	80000 tholas	gout	goud	28800.0	lb.	1657
2331	31 jan. 1657	40 ®	rijs	rijst	40		1657
2338	20 jan. 1651	437 \ catty	sijde	sijde	437		1651
2339	20 jan. 1651	375 catty	sijde	sijde	468.75	lb.	1651
2342	20 jan. 1651	5000 picol	thin	thin	625000	lb.	1651
2343	20 jan. 1651	4 kisten	silver	silver	4	kisten	1651
2344	20 jan. 1651	9 kisten	silver	silver	9	kisten	1651
2349	20 jan. 1651	20000	thin	thin	20000		1651
2359	20 jan. 1651	50 p.1	nagelen	nagelen	6250	lb.	1651
2362	20 jan. 1651	200 picol	peper	peper	25000	lb.	1651
2365		381-	peper	peper	381
2367		582-	rijst	rijst	582
2368	11 dec. 1685	4269	slaven	slaven	4269		1685
2371	11 dec. 1685	1505	slaven	slaven	1505		1685
2374	11 dec. 1685	30 balen	rijs	rijst	6000	lb.	1685
2375	11 dec. 1685	400 bharen	thin	thin	200000	lb.	1685
2377	11 dec. 1685	2000 candylen	peper	peper	1000000	lb.	1685
2380	11 dec. 1685	87	foelij	foelij	87		1685
2383	11 dec. 1685	42	peper	peper	42		1685
2384	11 dec. 1685	13	thin	thin	13		1685
2394	2 februari 1731	7.227 lb	nagelen	nagelen	7227	lb.	1731
2396	2 februari 1731	8 picols	thin	thin	1000	lb.	1731
2397	2 februari 1731	200 lasten	rijs	rijst	500000	lb.	1731
2398	2 februari 1731	6	foelij	foelij	6		1731
2399	2 februari 1731	6	canneel	kaneel	6		1731
2402	2 februari 1731	2.110	rijs	rijst	2110		1731
2407	2 februari 1731	600	zijde	zijde	600		1731
2414	2 februari 1731	481.125	peper	peper	481125		1731
2421	5 december 1726	100 staven	silver	silver	100	staven	1726
2422	15 jan. 1710	p.18	peper	peper	18		1710
2423	15 jan. 1710	1000 man	salpeter	salpeter	50000	lb.	1710
2434	21 dec. 1678	152	gout	goud	152		1678
2439	28 dec. 1681	4).de	nagelen	nagelen	4		1681
2441	21 dec. 1663	27 kisten	silver	silver	27	kisten	1663
2442	21 dec. 1663	27 kisten	silver	silver	27	kisten	1663
2448	10 dec. 1650	500 candy	peper	peper	250000	lb.	1650
2449	10 dec. 1650	150 candy	rijs	rijst	75000	lb.	1650
2450	10 dec. 1650	1600 candy	salpeter	salpeter	800000	lb.	1650
2473	10 dec. 1650	12 kisten	silver	silver	12	kisten	1650
2474	10 dec. 1650	500 picol	sijde	sijde	62500	lb.	1650
2475	10 dec. 1650	405 picol	sijde	sijde	50625	lb.	1650
2476	10 dec. 1650	365 picol	sijde	sijde	45625	lb.	1650
2479	10 dec. 1650	150 lasten	rijs	rijst	375000	lb.	1650
2480	10 dec. 1650	1050 bharen	peper	peper	525000	lb.	1650
2481	10 dec. 1650	300 bharen	peper	peper	150000	lb.	1650
2484	31 maart 1738	200 bharen	thin	thin	100000	lb.	1738
2485	31 maart 1738	500 cattijs	silver	silver	625.0	lb.	1738
2488	31 maart 1738	60 lasten	rijs	rijst	150000	lb.	1738
2490	31 maart 1738	80 lasten	rijs	rijst	200000	lb.	1738
2499	31 maart 1738	235 stux	koper	koper	235	stuks	1738
2501	31 maart 1738	12 lb.	peper	peper	12	lb.	1738
2503	31 maart 1738	4 lb.	foelij	foelij	4	lb.	1738
2505	31 maart 1738	3 lb.	foelij	foelij	3	lb.	1738
2506	31 maart 1738	36 lb.	peper	peper	36	lb.	1738
2509	30 nov. 1707	30000 p >	peper	peper	3750000	lb.	1707
2511	30 nov. 1707	600 lasten	rijs	rijst	1500000	lb.	1707
2514	30 nov. 1707	25 sockels	foelij	foelij	4025	lb.	1707
2524	1 dec. 1632	88	slaven	slaven	88		1632
2530	1 dec. 1632	4982 picol	peeper	peper	622750	lb.	1632
2533	1 dec. 1632	2 packgiens	nagelen	nagelen	2	pakken	1632
2535	1 dec. 1632	20 lasten	rijs	rijst	50000	lb.	1632
2536	1 dec. 1632	50 picol	peper	peper	6250	lb.	1632
2537	1 dec. 1632	7	nagelen	nagelen	7		1632
2598	29 april 1761	580.842 lb.	sappanhout	sappanhout	580842	lb.	1761
2627	29 april 1761	4 kisten97.295 lb.	indigo	indigo	4	kisten	1761
2644	13 dec. 1686	4200	slaven	slaven	4200		1686
2651	13 dec. 1686	6000 p.18	peper	peper	750000	lb.	1686
2674		9340 lb	rijs	rijst	9340	lb.
2683		8	silver	silver	8
2690		1836 lb	koper	koper	1836	lb.
2693		1000 coyangs	rijs	rijst	1625000	lb.
2694		190	slaven	slaven	190
2697		15 -Aan	peper	peper	15
2714		3031 balen	canneel	kaneel	606200	lb.
2715		3 kistjes	goud	goud	3	kisten
2723		6750 lb	indigo	indigo	6750	lb.
2727		305 lasten	rijst	rijst	762500	lb.
2732		90 lasten	rijs	rijst	225000	lb.
2734		26 lasten	rijs	rijst	65000	lb.
2735		200 lasten	rijs	rijst	500000	lb.
2737		50 bharen	peper	peper	25000	lb.
2739		15 lb	rijst	rijst	15	lb.
2748		1000 kisten	koper	koper	1000	kisten
2752		58 kisten	nagelen	nagelen	58	kisten
2762	19 jan. 1654	11 513 picol	peper	peper	11		1654
2769	19 jan. 1654	2 picol	peper	peper	250	lb.	1654
2772	19 jan. 1654	90 lasten	rijs	rijst	225000	lb.	1654
2776	19 jan. 1654	10 tail	silver	silver	0.75	lb.	1654
2777	19 jan. 1654	53 kisten	silver	silver	53	kisten	1654
2779	19 jan. 1654	39 packen	zijde	zijde	39	pakken	1654
2785	19 jan. 1654	42 packen	zijde	zijde	42	pakken	1654
2789	19 jan. 1654	10 schuyten	silver	silver	10	schuit	1654
2790	19 jan. 1654	43 packen	zijde	zijde	43	pakken	1654
2798	19 jan. 1654	25 tonnen	gout	goud	50000	lb.	1654
2799	19 jan. 1654	480	silver	silver	480		1654
2801	19 jan. 1654	4632 man	salpeter	salpeter	231600	lb.	1654
2814	1 dec. 1700	18 p.8	slaven	slaven	2250	lb.	1700
2818	1 dec. 1700	200 lasten	rijst	rijst	500000	lb.	1700
2822	8 april 1751	11.000 kisten	koper	koper	11000	kisten	1751
2824	8 april 1751	5700 kisten	koper	koper	5700	kisten	1751
2828	8 april 1751	140.500 lb.	thee	thee	140500	lb.	1751
2838	30 dec. 1689	2691	slaven	slaven	2691		1689
2849	15 jan. 1720	11923 sacken	salpeter	salpeter	11923	zakken	1720
2855	9 dec. 1637	1200 baelen	sijde	sijde	240000	lb.	1637
2858	9 dec. 1637	60 catty	silver	silver	75.0	lb.	1637
2859	9 dec. 1637	2000	peper	peper	2000		1637
2860	9 dec. 1637	38 000 sacken	peper	peper	38		1637
2864	9 dec. 1637	300 lasten	rijs	rijst	750000	lb.	1637
2872	9 dec. 1637	200	salpeter	salpeter	200		1637
2878	9 dec. 1637	pack,300 bhaar	salpeter	salpeter	150000	lb.	1637
2886	9 dec. 1637	1500 bhaer	peper	peper	750000	lb.	1637
2887	9 dec. 1637	600 bhaer	peper	peper	300000	lb.	1637
2895	9 dec. 1637	20 lasten	rijs	rijst	50000	lb.	1637
2898	9 dec. 1637	1/4 catty	rijs	rijst	1		1637
2899	9 dec. 1637	20 lasten	rijs	rijst	50000	lb.	1637
2905	9 dec. 1637	11.8	gout	goud	118		1637
2908	9 dec. 1637	540 picol	peper	peper	67500	lb.	1637
2913	9 dec. 1637	40 picols	peper	peper	5000	lb.	1637
2929	24 nov. 1677	25 tonnen	gout	goud	50000	lb.	1677
2932	24 nov. 1677	48894 ®	peeper	peper	48894		1677
2933	24 nov. 1677	36488	koper	koper	36488		1677
2935	24 nov. 1677	29 ®	gout	goud	29		1677
2936	24 nov. 1677	600000 ®	thin	thin	600000		1677
2939	24 nov. 1677	53000	peper	peper	53000		1677
2944	24 nov. 1677	25 teylen	gout	goud	1.875	lb.	1677
2949	8 jan. 1641	300 lasten	peper	peper	750000	lb.	1641
2965	1 oktober 1753	25.718 lb.	foelij	foelij	25718	lb.	1753
2969	1 oktober 1753	105.298 lb.	foelij	foelij	105298	lb.	1753
2971	1 oktober 1753	119.397^ lb.	foelij	foelij	119397		1753
2972	1 oktober 1753	474 lb.	foelij	foelij	474	lb.	1753
2975	1 oktober 1753	450 lasten	rijst	rijst	1125000	lb.	1753
2976	1 oktober 1753	5059| realen	goud	goud	5059		1753
2978	1 oktober 1753	278	rijst	rijst	278		1753
2980	1 oktober 1753	7624 bossen	padij	padij	7624	bossen	1753
2981	1 oktober 1753	294 gantings	rijst	rijst	3910.2000000000003	lb.	1753
2982	1 oktober 1753	15.000 bossen	padij	padij	15000	bossen	1753
2983	1 oktober 1753	119 gantings	rijst	rijst	1582.7	lb.	1753
2984	1 oktober 1753	10.385 bossen	padij	padij	10385	bossen	1753
2985	1 oktober 1753	233.260 bossen	padij	padij	233260	bossen	1753
2986	1 oktober 1753	200 lasten	rijst	rijst	500000	lb.	1753
2991	1 oktober 1753	122.666§ lb.	rijst	rijst	122666		1753
2994	1 oktober 1753	68 stux	slaven	slaven	68	stuks	1753
2996	1 oktober 1753	72	slaven	slaven	72		1753
3004	1 oktober 1753	102 pees	slaven	slaven	102	stuks	1753
3006	1 oktober 1753	25 lasten	rijst	rijst	62500	lb.	1753
3009	1 oktober 1753	50.000 lb.	sappanhout	sappanhout	50000	lb.	1753
3019	1 oktober 1753	1.631.919 lb.	peeper	peper	1631		1753
3049	1 oktober 1753	601^ realen	goud	goud	601		1753
3051	1 oktober 1753	83 bharen	thin	thin	41500	lb.	1753
3052	1 oktober 1753	19§ coyangs	rijst	rijst	19		1753
3053	1 oktober 1753	1600 bharen	thin	thin	800000	lb.	1753
3059	1 oktober 1753	2292 lb.	canneel	kaneel	2292	lb.	1753
3060	1 oktober 1753	30 thailen	goud	goud	2.25	lb.	1753
3063	1 oktober 1753	100 lb.	rijst	rijst	100	lb.	1753
3069	1 oktober 1753	16.441,13,881.332.759 lb.	salpeter	salpeter	16441		1753
3073	1 oktober 1753	30 balen	sijde	sijde	6000	lb.	1753
3077	1 oktober 1753	25.000 lb.	sappanhout	sappanhout	25000	lb.	1753
3101	1 oktober 1753	ƒ39.210,1,8	peeper	peper	39210		1753
3116	1 oktober 1753	125 lasten	rijst	rijst	312500	lb.	1753
3130	1 oktober 1753	867 lasten	rijst	rijst	2167500	lb.	1753
3155	1 oktober 1753	1048 lasten	rijst	rijst	2620000	lb.	1753
3159	1 oktober 1753	8050 lb.	indigo	indigo	8050	lb.	1753
3170	1 oktober 1753	3876 lb.	indigo	indigo	3876	lb.	1753
3182	1 oktober 1753	66.515 lb.	salpeter	salpeter	66515	lb.	1753
3189	1 oktober 1753	148.406 lb.	peeper	peper	148406	lb.	1753
3190	1 oktober 1753	7228 lb.	indigo	indigo	7228	lb.	1753
3194	1 oktober 1753	100.000 lb.	foelij	foelij	100000	lb.	1753
3201	1 oktober 1753	200.000 lb.	salpeter	salpeter	200000	lb.	1753
3203	1 oktober 1753	100.000 lb.	peper	peper	100000	lb.	1753
3205	1 oktober 1753	100 lb.	koper	koper	100	lb.	1753
3207	1 oktober 1753	68 sockels	foelij	foelij	10948	lb.	1753
3209	1 oktober 1753	1000 sockels	foelij	foelij	161000	lb.	1753
3218	1 oktober 1753	189öf reaalen	goud	goud	189		1753
3225	1 oktober 1753	6 lasten	rijst	rijst	15000	lb.	1753
3226	1 oktober 1753	1804 bossen	padij	padij	1804	bossen	1753
3227	1 oktober 1753	2845 bossen	padij	padij	2845	bossen	1753
3228	1 oktober 1753	200 gantings	rijst	rijst	2660.0	lb.	1753
3229	1 oktober 1753	16.059 bossen	padij	padij	16059	bossen	1753
3230	1 oktober 1753	70 lasten	rijst	rijst	175000	lb.	1753
3231	1 oktober 1753	1059 bossen	padij	padij	1059	bossen	1753
3232	1 oktober 1753	194.103 bossen	padij	padij	194103	bossen	1753
3233	1 oktober 1753	200 lasten	rijst	rijst	500000	lb.	1753
3234	1 oktober 1753	400 lasten	rijst	rijst	1000000	lb.	1753
3235	1 oktober 1753	6000 bossen	padij	padij	6000	bossen	1753
3236	1 oktober 1753	200 lasten	rijst	rijst	500000	lb.	1753
3237	1 oktober 1753	100 lasten	rijst	rijst	250000	lb.	1753
3238	1 oktober 1753	46 lasten	rijst	rijst	115000	lb.	1753
3240	1 oktober 1753	50 lasten	rijst	rijst	125000	lb.	1753
3244	1 oktober 1753	15 thailen	goud	goud	1.125	lb.	1753
3245	1 oktober 1753	200	slaven	slaven	200		1753
3254	1 oktober 1753	1.106.383 lb.	thin	thin	1106		1753
3255	1 oktober 1753	50.000 lb.	sappanhout	sappanhout	50000	lb.	1753
3256	1 oktober 1753	57.408 lb.	thin	thin	57408	lb.	1753
3258	1 oktober 1753	10.000 lb.	sappanhout	sappanhout	10000	lb.	1753
3259	1 oktober 1753	500 coyangs	rijst	rijst	812500	lb.	1753
3261	1 oktober 1753	50.000 lb.	sappanhout	sappanhout	50000	lb.	1753
3263	1 oktober 1753	11.000 kistjes	koper	koper	11000	kisten	1753
3266	1 oktober 1753	2.200.000 lb.	peper	peper	2200		1753
3267	1 oktober 1753	1.700.000 lb.	thin	thin	1700		1753
3284	1 oktober 1753	ƒ557.330,7,8	goud	goud	557330		1753
3289	1 oktober 1753	2000 thailen	goud	goud	150.0	lb.	1753
3290	1 oktober 1753	103 thailen	silver	silver	7.725	lb.	1753
3298	1 oktober 1753	12.000 picols	peper	peper	1500000	lb.	1753
3309	1 oktober 1753	10.000 thailen	goud	goud	750.0	lb.	1753
3324	1 oktober 1753	125 lb.	indigo	indigo	125	lb.	1753
3326	1 oktober 1753	23.435 lb.	salpeter	salpeter	23435	lb.	1753
3333	1 oktober 1753	1± lb.	thin	thin	1		1753
3335	1 oktober 1753	19.375 lb.	sappanhout	sappanhout	19375	lb.	1753
3340	1 oktober 1753	60.075 lb.	thin	thin	60075	lb.	1753
3341	1 oktober 1753	275.344 lb.	thin	thin	275344	lb.	1753
3345	1 oktober 1753	629 thailen	goud	goud	47.175	lb.	1753
3347	1 oktober 1753	100 bharen	thin	thin	50000	lb.	1753
3375	1 oktober 1753	15.000 zakken	salpeter	salpeter	15000	zakken	1753
3405	1 oktober 1753	500 candijlen	peper	peper	250000	lb.	1753
3408	1 oktober 1753	10.000 lb.	sappanhout	sappanhout	10000	lb.	1753
3430	1 oktober 1753	2485 lb.	indigo	indigo	2485	lb.	1753
3438	1 oktober 1753	650 lasten	rijst	rijst	1625000	lb.	1753
3439	1 oktober 1753	16.540 bossen	padij	padij	16540	bossen	1753
3441	1 oktober 1753	181 2^ lb.	peper	peper	181		1753
3443	1 oktober 1753	7250 lb.	indigo	indigo	7250	lb.	1753
3450	1 oktober 1753	375 lb.	peeper	peper	375	lb.	1753
3451	1 oktober 1753	1.243.683 lb.	peeper	peper	1243		1753
3452	1 oktober 1753	266.625 lb.	sappanhout	sappanhout	266625	lb.	1753
3460	1 oktober 1753	7491 lb.	indigo	indigo	7491	lb.	1753
3466	1 oktober 1753	145 lb. balen	canneel	kaneel	145	lb.	1753
3471	1 oktober 1753	10.750 lb.	nagelen	nagelen	10750	lb.	1753
3473	1 oktober 1753	210.625 lb.	peeper	peper	210625	lb.	1753
3474	1 oktober 1753	40.625 lb.	thin	thin	40625	lb.	1753
3476	1 oktober 1753	500 picols	peeper	peper	62500	lb.	1753
3478	1 oktober 1753	100 picols	peper	peper	12500	lb.	1753
3482	1 oktober 1753	120.000 lb.	nagelen	nagelen	120000	lb.	1753
3483	1 oktober 1753	700 sockels	foelij	foelij	112700	lb.	1753
3491	1 oktober 1753	7251	nagelen	nagelen	7251		1753
3494	1 oktober 1753	600 lasten	rijs	rijst	1500000	lb.	1753
3495	1 oktober 1753	6000 bossen	padij	padij	6000	bossen	1753
3496	1 oktober 1753	40 pakken	rijs	rijst	40	pakken	1753
3500	1 oktober 1753	300 lasten	rijst	rijst	750000	lb.	1753
3503	1 oktober 1753	6000 bossen	padij	padij	6000	bossen	1753
3504	1 oktober 1753	150 lasten	rijst	rijst	375000	lb.	1753
3505	1 oktober 1753	3000 bossen	padij	padij	3000	bossen	1753
3506	1 oktober 1753	100 lasten	rijst	rijst	250000	lb.	1753
3508	1 oktober 1753	250 lasten	rijst	rijst	625000	lb.	1753
3509	1 oktober 1753	3500 bossen	padij	padij	3500	bossen	1753
3510	1 oktober 1753	200 lasten	rijst	rijst	500000	lb.	1753
3511	1 oktober 1753	150 lasten	rijst	rijst	375000	lb.	1753
3512	1 oktober 1753	10.000 bossen	padij	padij	10000	bossen	1753
3513	1 oktober 1753	300 lasten	rijst	rijst	750000	lb.	1753
3514	1 oktober 1753	6000 bossen	padij	padij	6000	bossen	1753
3515	1 oktober 1753	20.000 bossen	rijst	rijst	20000	bossen	1753
3517	1 oktober 1753	11.431 bossen	padij	padij	11431	bossen	1753
3518	1 oktober 1753	15 lasten	rijst	rijst	37500	lb.	1753
3519	1 oktober 1753	2065 bossen	padij	padij	2065	bossen	1753
3520	1 oktober 1753	28.600 bossen	padij	padij	28600	bossen	1753
3521	1 oktober 1753	195.750 bossen	padij	padij	195750	bossen	1753
3522	1 oktober 1753	406 lasten	rijst	rijst	1015000	lb.	1753
3523	1 oktober 1753	25.644 bossen	padij	padij	25644	bossen	1753
3524	1 oktober 1753	9585 bossen	padij	padij	9585	bossen	1753
3525	1 oktober 1753	12	rijst	rijst	12		1753
3528	1 oktober 1753	8213^ lb.	indigo	indigo	8213		1753
3530	1 oktober 1753	tweeduyzend2 picols	sappanhout	sappanhout	250	lb.	1753
3531	1 oktober 1753	12.000 picols	peper	peper	1500000	lb.	1753
3540	1 oktober 1753	1.000.000 lb.	peper	peper	1000		1753
3545	1 oktober 1753	476.476 lb.	rijst	rijst	476476	lb.	1753
3549	1 oktober 1753	50.000 lb.	sappanhout	sappanhout	50000	lb.	1753
3550	1 oktober 1753	1.219.845 lb.	rijst	rijst	1219		1753
3551	1 oktober 1753	50.000 lb.	sappanhout	sappanhout	50000	lb.	1753
3552	1 oktober 1753	57.700 lb.	thin	thin	57700	lb.	1753
3553	1 oktober 1753	100.000 ponden	sappanhout	sappanhout	100000	lb.	1753
3562	1 oktober 1753	1.698.713 lb.	peeper	peper	1698		1753
3563	1 oktober 1753	1.216.306^ lb.	thin	thin	1216		1753
3581	1 oktober 1753	10.000 thail	zijde	zijde	750.0	lb.	1753
3588	1 oktober 1753	2730 picols	sappanhout	sappanhout	341250	lb.	1753
3590	1 oktober 1753	415.519 lb.	thin	thin	415519	lb.	1753
3595	1 oktober 1753	68.750 lb.	sappanhout	sappanhout	68750	lb.	1753
3598	1 oktober 1753	6214 lb.	thin	thin	6214	lb.	1753
3600	1 oktober 1753	200 staafjes	goud	goud	200	staven	1753
3607	1 oktober 1753	145.840 lb.	thin	thin	145840	lb.	1753
3627	1 oktober 1753	222 lb.	canneel	kaneel	222	lb.	1753
3629	1 oktober 1753	500 candijlen	peper	peper	250000	lb.	1753
3640	1 oktober 1753	1.219.845 lb.	rijst	rijst	1219		1753
3642	1 oktober 1753	2000	peper	peper	2000		1753
3643	1 oktober 1753	200 candijlen	peper	peper	100000	lb.	1753
3647	1 oktober 1753	72 lb.	indigo	indigo	72	lb.	1753
3658	1 oktober 1753	6 tonne	goud	goud	12000	lb.	1753
3672	1 oktober 1753	1.161.213 lb.	peeper	peper	1161		1753
3693	1 oktober 1753	108.193 lb.	nagelen	nagelen	108193	lb.	1753
3695	1 oktober 1753	2000 picols	peper	peper	250000	lb.	1753
3699	1 oktober 1753	172.000 lb.	thee	thee	172000	lb.	1753
3700	1 oktober 1753	31.250 lb.	thin	thin	31250	lb.	1753
3710	19 dec. 1651	400 picol	peper	peper	50000	lb.	1651
3714	19 dec. 1651	19 bharen	nagelen	nagelen	9500	lb.	1651
3720	19 dec. 1651	30 bharen	thin	thin	15000	lb.	1651
3721	19 dec. 1651	300 baren	thin	thin	150000	lb.	1651
3740	26 jan. 1655	10 tayl	silver	silver	0.75	lb.	1655
3765	27 dec. 1634	240 lasten	peper	peper	600000	lb.	1634
3772	27 dec. 1634	2000	rijs	rijst	2000		1634
3773	27 dec. 1634	40 lasten	rijs	rijst	100000	lb.	1634
3778	27 dec. 1634	103 391 ®	peper	peper	103		1634
3785	9 febr. 1693	2000 bharen	nagelen	nagelen	1000000	lb.	1693
3786	9 febr. 1693	1200000 ®	nagelen	nagelen	1200000		1693
3788	9 febr. 1693	5 p.ls	peper	peper	625	lb.	1693
3796	18 juli 1656	150 carga	sijde	sijde	63450	lb.	1656
3797	10 november 1738	10 lasten	rijst	rijst	25000	lb.	1738
3798	10 november 1738	10 lasten	rijst	rijst	25000	lb.	1738
3800	10 november 1738	53 gantings	rijst	rijst	704.9000000000001	lb.	1738
3801	10 november 1738	13.272 bossen	padij	padij	13272	bossen	1738
3802	10 november 1738	1000 bossen	padij	padij	1000	bossen	1738
3810	10 november 1738	50.000 lb.	peper	peper	50000	lb.	1738
3835	10 november 1738	150.000 lb.	peper	peper	150000	lb.	1738
3837	28 december 1731	6 maten	rijst	rijst	6	maten	1731
3840	28 december 1731	661.085 lb	peper	peper	661085	lb.	1731
3849	28 december 1731	8624 lb	foelij	foelij	8624	lb.	1731
3851	28 december 1731	200.000 lb	peper	peper	200000	lb.	1731
3854	28 december 1731	50 lasten	rijs	rijst	125000	lb.	1731
3858	23 dec. 1687	3731	slaven	slaven	3731		1687
3859	23 dec. 1687	7 t.	gout	goud	0.525	lb.	1687
3860	23 dec. 1687	2 theyl	gout	goud	0.15	lb.	1687
3863	23 dec. 1687	15 bharen	thin	thin	7500	lb.	1687
3878	30 nov. 1684	100 sacken	salpeter	salpeter	100	zakken	1684
3879	30 nov. 1684	1000 bharen	peper	peper	500000	lb.	1684
3880	30 nov. 1684	108	slaven	slaven	108		1684
3881	30 nov. 1684	600 lasten	rijs	rijst	1500000	lb.	1684
3883	30 nov. 1684	8	peper	peper	8		1684
3894	30 nov. 1684	3000 picols	peper	peper	375000	lb.	1684
3898	17 jan. 1625	400 lasten	rijs	rijst	1000000	lb.	1625
3904	17 jan. 1625	4196 sacken	peper	peper	4196	zakken	1625
3905	18 febr. 1711	50 kisten	silver	silver	50	kisten	1711
3908	29 nov. 1710	40	slaven	slaven	40		1710
3916	31 dec. 1645	6 picols	indigo	indigo	750	lb.	1645
3926	17 nov. 1669	6 lasten	rijs	rijst	15000	lb.	1669
3935	17 nov. 1669	500 b.r	thin	thin	250000	lb.	1669
3936	17 nov. 1669	150 b.r	peper	peper	75000	lb.	1669
3942	17 nov. 1669	38 lasten	peper	peper	95000	lb.	1669
3943	17 nov. 1669	905 lasten	peper	peper	2262500	lb.	1669
3944	17 nov. 1669	100 ®	peper	peper	100		1669
3945	17 nov. 1669	40 “ ffi	peper	peper	40		1669
3948	17 nov. 1669	358 £ lasten	peper	peper	358		1669
3949	17 nov. 1669	42 carga	sijde	sijde	17766	lb.	1669
3950	26 januari 1726	200 last	rijst	rijst	500000	lb.	1726
3952	26 januari 1726	4080 ©	nagelen	nagelen	4080		1726
3954	26 januari 1726	102.000 ©	peper	peper	102000		1726
3956	26 januari 1726	34.000 ©	thin	thin	34000		1726
3963	15 oktober 1759	6.000.000 lb.	nagelen	nagelen	6000		1759
3966	21 dec. 1646	4 p.s	slaven	slaven	500	lb.	1646
3970	21 dec. 1646	25	gout	goud	25		1646
3971	21 dec. 1646	-7000 paren	sijde	sijde	7000	paar	1646
3979	21 dec. 1646	80 000 ft	salpeter	salpeter	80		1646
3982	21 dec. 1646	52 balen	sijde	sijde	10400	lb.	1646
3986	21 dec. 1646	125	sijde	sijde	125		1646
3995	3 febr. 1626	200 lasten	rijs	rijst	500000	lb.	1626
4004	3 febr. 1626	250 sacken	peper	peper	250	zakken	1626
4007	3 febr. 1626	500 lasten	peper	peper	1250000	lb.	1626
4009	22 dec. 1638	100 bhaar	nagelen	nagelen	50000	lb.	1638
4010	22 dec. 1638	30 bhaar	nagelen	nagelen	15000	lb.	1638
4012	22 dec. 1638	150 bhaar	nagelen	nagelen	75000	lb.	1638
4014	22 dec. 1638	50 lasten	rijs	rijst	125000	lb.	1638
4016	22 dec. 1638	3000	peper	peper	3000		1638
4018	22 dec. 1638	100 packen	indigo	indigo	100	pakken	1638
4019	22 dec. 1638	135 sockels	nagelen	nagelen	21735	lb.	1638
